33,ダイエットは好調の様子,心強い仲間がいることに、感謝できるはずです,ホワイト,入浴剤,獅子座,B型
34,バタバタしてしまいそう,疲れていると思ったら、ちょっと睡眠を取るのがいいかも,グリーン,丸ぼうろ,乙女座,O型
35,インドアの活動に吉がある日,ネットショッピングを活用すると、思いもよらない掘り出し物を見付けられそう,パープル,チャイティー,牡牛座,O型
36,思わぬ臨時収入で、テンションがアップする日,リラックスする時間をうまくはさんで、集中力をキープして,グレー,レポート用紙,射手座,B型
37,注意力散漫になるとミスが出る日,目の前のことに、とことん集中して,オレンジ,薄手のパーカー,水瓶座,B型
38,疲れがたまってしまいそうな日,今日は家族との時間を大事に,グリーン,ハイヒール,蠍座,B型
39,注意力散漫になるとミスが出る日,あなたらしさを大切にして,ゴールド,花瓶,牡牛座,AB型
40,気分が落ち込みがちな日,頑張っているあなたを、応援する人もいるはず,ブルー,さが錦（抹茶）,天秤座,O型
41,あまり多くの目標を持たずに、そつなく過ごすといい日,あなたはあなたなりの考えで、できることを精一杯やるのが大事,ピンク,お弁当箱,双子座,A型
42,人との付き合いを真剣に考え直したい日,ありのままの自分を信じることが大事です,ブルー,レポート用紙,蠍座,AB型
43,金運がダウン,ダイエットをしているのなら、運動も増やしてみましょう,ゴールド,領収証,乙女座,AB型
44,うまく気分転換をしたい日,ほどほどにしておいて、あなたの時間を大切に,ゴールド,小城羊羹,天秤座,B型
45,少し注意力散漫になりがちな日,辛くても今が踏ん張りどころと思って、できる限りのことをして,ブルー,双眼鏡,獅子座,AB型
46,甘いもの、油の多いものを食べ過ぎないように注意したい日,きれいな風景、かわいい動物の写真などを見ていると、心は癒されるはずです,グレー,丸ぼうろ,山羊座,B型
47,人の気持ちに敏感になる日,ケンカをしている人がいる場合は、相手から謝ってくれます,ピンク,スニーカー,天秤座,A型
48,衝動買いをしてしまうかも,あなたの好きなことに、思い切って取り組んでみて,ピンク,明太子,乙女座,B型
